plateno	metafile	datafile	buffer
1	SV-2016-09-30-123319-CSF-tp-metadata.txt	SV-2016-09-30-123319-CSF-tp.txt	PBS
2	EVM-2016-09-30-164341-CSF-tp-metadata.txt	EVM-2016-09-30-164341-CSF-tp.txt	PBS
3	EVM-2016-10-06-150404-CSF-tp-metadata.txt	EVM-2016-10-06-150404-CSF-tp.txt	PBS
4	totprot4-2016-11-17-metadata.txt	totprot4-2016-11-17.CSV	PBS
5	dc05_metadata.txt	EVM-TP5-PBS-01-06-17-125415.txt	PBS
6	dc06_metadata.txt	EVM-TP6-RIPA-01-06-17-134814.txt	RIPA
7	dc07_metadata.txt	tp7-2017-01-09.csv	PBS
8	dc08_metadata.txt	SV-2017-02-22-kuvan-tot-prot-151645.txt	PBS
9	dc09_metadata.txt	tp9-2017-05-19.csv	PBS
10	dc10_metadata.txt	tp-10-bh-multispecies-2017-07-06.txt	PBS+0.03%CHAPS
11	dc11_metadata.txt	EVM-TP11-174918-2017-10-25.txt	PBS
12	dc12_metadata.txt	EVM-TP12-2017-10-27.csv	PBS+0.03%CHAPS
13	dc13_metadata.txt	EVM-TP13-2017-10-27.csv	PBS+0.03%CHAPS
