plate	row	col	a750	stype	detail	dilution	mgml	flag
13	A	1	0.473	standard	1.6	1	1.6	
13	A	2	0.363	standard	0.8	1	0.885880189369206	
13	A	3	0.306	standard	0.4	1	0.491898832850427	
13	A	4	0.275	standard	0.2	1	0.277628270533197	
13	A	5	0.257	standard	0.1	1	0.153213105316741	
13	A	6	0.229	standard	0.0	1	0.1	
13	A	7	0.444	standard	1.6	1	1.44574843284326	
13	A	8	0.354	standard	0.8	1	0.823672606760977	
13	A	9	0.285	standard	0.4	1	0.346747806764561	
13	A	10	0.256	standard	0.2	1	0.146301151693604	
13	A	11	0.246	standard	0.1	1	0.1	
13	A	12	0.227	standard	0.0	1	0.1	
13	B	1	0.352	sample	36AR	1	0.809848699514704	
13	B	2	0.328	sample	36AR	1	0.643961812559429	
13	B	3	0.28	sample	37A	1	0.312188038648879	
13	B	4	0.272	sample	37A	1	0.256892409663788	
13	B	5	0.35	sample	38AR	1	0.796024792268432	
13	B	6	0.334	sample	38AR	1	0.685433534298248	
13	B	7	0.276	sample	39A	1	0.284540224156334	
13	B	8	0.269	sample	39A	1	0.236156548794378	
13	B	9	0.266	sample	40A	1	0.215420687924969	
13	B	10	0.258	sample	40A	1	0.160125058939877	
13	B	11	0.283	sample	41A	1	0.332923899518288	
13	B	12	0.279	sample	41A	1	0.305276085025743	
13	C	1	0.288	sample	42A	1	0.367483667633971	
13	C	2	0.289	sample	42A	1	0.374395621257107	
13	C	3	0.274	sample	42BR	1	0.270716316910061	
13	C	4	0.276	sample	42BR	1	0.284540224156334	
13	C	5	0.3	sample	43A	1	0.450427111111608	
13	C	6	0.288	sample	43A	1	0.367483667633971	
13	C	7	0.302	sample	43BR	1	0.464251018357881	
13	C	8	0.288	sample	43BR	1	0.367483667633971	
13	C	9	0.298	sample	44A	1	0.436603203865335	
13	C	10	0.278	sample	44A	1	0.298364131402606	
13	C	11	0.278	sample	45A	1	0.298364131402606	
13	C	12	0.258	sample	45A	1	0.160125058939877	
13	D	1	0.327	sample	46A	1	0.637049858936293	
13	D	2	0.323	sample	46A	1	0.609402044443747	
13	D	3	0.329	sample	46B	1	0.650873766182566	
13	D	4	0.325	sample	46B	1	0.62322595169002	
13	D	5	0.326	sample	46C	1	0.630137905313157	
13	D	6	0.309	sample	46C	1	0.512634693719837	
13	D	7	0.311	sample	46D	1	0.526458600966109	
13	D	8	0.303	sample	46D	1	0.471162971981018	
13	D	9	0.328	sample	47A	1	0.643961812559429	
13	D	10	0.298	sample	47A	1	0.436603203865335	
13	D	11	0.309	sample	48A	1	0.512634693719837	
13	D	12	0.295	sample	48A	1	0.415867342995926	
13	E	1	0.328	sample	49A	1	0.643961812559429	
13	E	2	0.297	sample	49A	1	0.429691250242199	
